,biomass,coal,gas,geothermal,hydro,nuclear,oil,solar,wind,unknown,hydro_storage,production_total,consumption,imported
2019-01-01 09:45:00,5387.0,7609.0,2901.0,3.0,1523.0,6534.0,490.0,1641.0,34108.0,380.0,-0.0,60576.0,45258.0,-15318.0
2019-01-01 10:00:00,5402.0,7618.0,2967.0,3.0,1542.0,6627.0,489.0,1787.0,35196.0,380.0,-0.0,62011.0,46221.0,-15790.0
2019-01-01 10:15:00,5395.0,7663.0,2969.0,3.0,1572.0,6696.0,490.0,2025.0,35634.0,380.0,-0.0,62827.0,47174.0,-15653.0
2019-01-01 10:30:00,5413.0,7698.0,2979.0,3.0,1585.0,6701.0,491.0,2190.0,35975.0,380.0,-0.0,63415.0,47985.0,-15430.0
2019-01-01 10:45:00,5407.0,7741.0,2972.0,3.0,1595.0,6810.0,488.0,2211.0,36044.0,381.0,-0.0,63652.0,48578.0,-15074.0
2019-01-01 11:00:00,5409.0,7716.0,2949.0,3.0,1615.0,6928.0,489.0,2250.0,35930.0,380.0,-1.0,63668.0,49169.0,-14499.0
2019-01-01 11:15:00,5413.0,7785.0,2956.0,3.0,1628.0,6951.0,489.0,2253.0,35724.0,380.0,-1.0,63581.0,49266.0,-14315.0
2019-01-01 11:30:00,5400.0,7771.0,2971.0,3.0,1617.0,6963.0,490.0,2241.0,35923.0,380.0,-1.0,63758.0,49304.0,-14454.0
2019-01-01 11:45:00,5406.0,7748.0,2954.0,3.0,1542.0,6975.0,488.0,2183.0,36022.0,381.0,-1.0,63701.0,49304.0,-14397.0
2019-01-01 12:00:00,5405.0,7813.0,2891.0,3.0,1569.0,6977.0,489.0,2099.0,36233.0,381.0,-123.0,63737.0,49019.0,-14718.0
2019-01-01 12:15:00,5409.0,7772.0,2860.0,3.0,1567.0,6954.0,488.0,2097.0,36374.0,381.0,-1.0,63904.0,48740.0,-15164.0
2019-01-01 12:30:00,5402.0,7745.0,2885.0,3.0,1579.0,6937.0,488.0,2003.0,36464.0,381.0,-1.0,63886.0,48673.0,-15213.0
2019-01-01 12:45:00,5388.0,7731.0,2863.0,3.0,1573.0,6943.0,489.0,1827.0,36748.0,381.0,-3.0,63943.0,48896.0,-15047.0
2019-01-01 13:00:00,5396.0,7727.0,2879.0,3.0,1576.0,6947.0,488.0,1615.0,36743.0,381.0,-44.0,63711.0,48803.0,-14908.0
2019-01-01 13:15:00,5399.0,7773.0,2864.0,3.0,1593.0,6994.0,488.0,1414.0,36644.0,381.0,-49.0,63504.0,48405.0,-15099.0
2019-01-01 13:30:00,5406.0,7811.0,2893.0,3.0,1631.0,7016.0,492.0,1204.0,37087.0,381.0,-50.0,63874.0,48718.0,-15156.0
2019-01-01 13:45:00,5402.0,7779.0,2873.0,3.0,1624.0,7109.0,490.0,956.0,36998.0,381.0,-164.0,63451.0,48454.0,-14997.0
2019-01-01 14:00:00,5395.0,7914.0,2866.0,3.0,1640.0,7170.0,489.0,732.0,36300.0,381.0,-1007.0,61883.0,48639.0,-13244.0
2019-01-01 14:15:00,5397.0,7904.0,2881.0,3.0,1556.0,7201.0,489.0,529.0,36658.0,381.0,-1003.0,61996.0,48567.0,-13429.0
2019-01-01 14:30:00,5390.0,7820.0,2891.0,3.0,1509.0,7296.0,488.0,343.0,36891.0,380.0,-1154.0,61857.0,48923.0,-12934.0
2019-01-01 14:45:00,5393.0,7761.0,2893.0,3.0,1535.0,7415.0,488.0,176.0,37545.0,381.0,-919.0,62671.0,49175.0,-13496.0
